Great Basin National Park|NV|US|No|||39.0053|-114.2158|-8|Yes|PST|PDT|nv003|No|National Park Service
Theodore Roosevelt National Park|ND|US|No|||46.9496|-103.5143|-7|Yes|MST|MDT|nd001|No|National Park Service
Canyonlands National Park|UT|US|No|||38.4583|-109.8211|-7|Yes|MST|MDT|ut009|No|National Park Service
Duluth Area|MN|US|Yes|||46.7137|-92.5117|-6|Yes|CST|CDT|mn004|No|Minnesota Pollution Control Agency
Belle Glade|FL|US|Yes|||26.7241|-80.6630|-5|Yes|EST|EDT|fl019|No|Palm Beach County Health Department Division of Environmental Science and Engineering
Sioux Falls|SD|US|No|||43.5479|-96.7007|-6|Yes|CST|CDT|sd001|No|South Dakota Department of Agriculture and Natural Resources
Badlands|SD|US|No|||43.7456|-101.9412|-6|Yes|CST|CDT|sd002|No|South Dakota Department of Agriculture and Natural Resources
Wind Cave|SD|US|No|||43.5578|-103.4839|-6|Yes|CST|CDT|sd003|No|South Dakota Department of Agriculture and Natural Resources
Hernando|MS|US|Yes|||34.8275|-89.9889|-6|Yes|CST|CDT|ms006|No|Mississippi DEQ
Colorado River Valley|CO|US|Yes|||39.4970|-107.9390|-7|Yes|MST|MDT|co008|No|Colorado Department of Public Health and Environment
Muscatine|IA|US|No|||41.4239|-91.0561|-6|Yes|CST|CDT|ia002|No|Iowa DNR
West Central Minnesota|MN|US|Yes|||46.4603|-95.5234|-6|Yes|CST|CDT|mn005|No|Minnesota Pollution Control Agency
Central Minnesota|MN|US|Yes|||46.5444|-94.0916|-6|Yes|CST|CDT|mn006|No|Minnesota Pollution Control Agency
St. Cloud Area|MN|US|Yes|||45.5498|-94.1335|-6|Yes|CST|CDT|mn007|No|Minnesota Pollution Control Agency
Southwestern Minnesota|MN|US|Yes|||44.7525|-95.5677|-6|Yes|CST|CDT|mn008|No|Minnesota Pollution Control Agency
Minnesota Arrowhead|MN|US|Yes|||47.9103|-90.6158|-6|Yes|CST|CDT|mn009|No|Minnesota Pollution Control Agency
Rapid City|SD|US|No|||44.0873|-103.2737|-6|Yes|CST|CDT|sd004|No|South Dakota Department of Agriculture and Natural Resources
Altoona|PA|US|Yes|Air Quality Action Day||40.5187|-78.3947|-5|Yes|EST|EDT|pa006|No|Pennsylvania Dept. of Environmental Protection
Erie|PA|US|Yes|Air Quality Action Day||42.1292|-80.0851|-5|Yes|EST|EDT|pa007|No|Pennsylvania Dept. of Environmental Protection
Indiana County|PA|US|Yes|Air Quality Action Day||40.6851|-79.1097|-5|Yes|EST|EDT|pa008|No|Pennsylvania Dept. of Environmental Protection
Johnstown|PA|US|Yes|Air Quality Action Day||40.3267|-78.9220|-5|Yes|EST|EDT|pa009|No|Pennsylvania Dept. of Environmental Protection
Mercer County|PA|US|Yes|Air Quality Action Day||41.2620|-80.1875|-5|Yes|EST|EDT|pa010|No|Pennsylvania Dept. of Environmental Protection
Scranton and Wilkes-Barre|PA|US|Yes|Air Quality Action Day||41.3363|-75.7274|-5|Yes|EST|EDT|pa011|No|Pennsylvania Dept. of Environmental Protection
State College|PA|US|Yes|Air Quality Action Day||40.7934|-77.8600|-5|Yes|EST|EDT|pa012|No|Pennsylvania Dept. of Environmental Protection
Williamsport|PA|US|Yes|Air Quality Action Day||41.2412|-77.0011|-5|Yes|EST|EDT|pa013|No|Pennsylvania Dept. of Environmental Protection
